filename,secondary_filename,beverage_type,brand_name,fanciful_name,class_type,alcohol_content,net_contents,applicant_address,origin,country,formula_id,appellation,vintage
persian-empire-black-widow-distilled-spirits.pdf,persian-empire-black-widow-distilled-spirits-back.pdf,distilled-spirits,Persian Empire,Black Widow,other specialties & proprietaries,40% Alc./Vol.,,,imported,canada,,,
persian-empire-arak-distilled-spirits.pdf,persian-empire-arak-distilled-spirits-back.pdf,distilled-spirits,Persian Empire,Arak ,arack/raki,40% Alc./Vol.,,,imported,canada,,,
simply-elegant-simply-elegant-spirits-distilled-spirits.pdf,simply-elegant-simply-elegant-spirits-distilled-spirits-back.pdf,distilled-spirits,Simply Elegant,Simply Elegant Spirits,straight bourbon whisky,67% Alc./Vol.,,,domestic,,,,
crafy-elk-cranberry-blueberry-acai-distilled-spirits.pdf,,distilled-spirits,Crafy Elk,"Cranberry, Blueberry, & Acai",vodka specialties,4.5% Alc./Vol.,,,domestic,,,,
crafty-elk-mango-honey-distilled-spirits.pdf,,distilled-spirits,Crafty Elk,Mango & Honey,vodka specialties,4.5% Alc./Vol.,,,domestic,,,,
the-wine-trust-rum-distilled-spirits.pdf,,distilled-spirits,The Wine Trust,Rum,other rum gold fb,60% Alc./Vol.,,,imported,trinidad/tobago,,,
flaviar-columbia-creek-tennessee-whiskey-distilled-spirits.pdf,,distilled-spirits,Flaviar,Columbia Creek Tennessee Whiskey,whisky,47.8% Alc./Vol.,,,domestic,,,,
old-station-31-orange-distilled-spirits.pdf,old-station-31-orange-distilled-spirits-back.pdf,distilled-spirits,Old Station 31,Orange,vodka - orange flavored,40% Alc./Vol.,,,domestic,,,,
west-peak-tequila-paloma-distilled-spirits.pdf,,distilled-spirits,West Peak,Tequila Paloma,other specialties & proprietaries,6% Alc./Vol.,,,domestic,,,,
