filename,beverage_type,brand_name,fanciful_name,class_type,alcohol_content,net_contents,applicant_address,origin,country,formula_id,appellation,vintage
simply-elegant-simply-elegant-spirits-distilled-spirits.webp,distilled-spirits,Simply Elegant,Simply Elegant Spirits,straight bourbon whisky,67% Alc./Vol.,,,domestic,,,,
leitz-rottland-wine.webp,wine,Leitz,Rottland,table white wine,12.5% Alc./Vol.,,,imported,germany,,Rheingau,2023
lake-placid-shredder-malt-beverage.webp,malt-beverage,Lake Placid,Shredder,ale,,,,domestic,,,,
